epsilon,num_cities,dimension,radius,iterations,predicted_iterations,percent_of_predicted,objective_value,dual_value,gap,theoretical_gap_bound,mu,lipschitz,operator_norm,weight_sum,converged,elapsed_seconds,mu_mode,stages
0.01,10,2,1.0,600,1631,36.78724708767627,4.5905804555030985,4.58199779621858,0.00858265928451818,0.041848245859064374,0.001226856384989992,6643.738728389308,2.854980434106285,8.150913279129712,True,0.03298439993523061,fixed,1
0.01,10,5,1.0,1000,1971,50.73566717402334,6.069192684692067,6.060359122325862,0.008833562366204362,0.02439615231126812,0.001014939526226741,9707.774231789694,3.138917612733535,9.852803779528797,True,0.05399749998468906,fixed,1
0.01,50,2,1.0,3700,10192,36.30298273155416,24.558439813598273,24.549012677115083,0.009427136483189713,0.04292860701379192,0.0001962325948977866,259691.48293238122,7.138622666080301,50.959933568675424,True,0.645043299999088,fixed,1
0.01,50,5,1.0,2900,9679,29.96177291042463,33.268128759830354,33.258818235603556,0.009310524226798123,0.06067335949832904,0.00020664191605565175,234187.2030617462,6.956500007647037,48.392892356393226,True,0.5140740000642836,fixed,1
0.001,10,2,1.0,11000,17540,62.713797035347774,3.7573073161501176,3.7563352614218957,0.0009720547282219272,0.0017710550140375917,0.00011403033463871754,76905.81915185151,2.9613504172168343,8.76959629355032,True,0.5419115000404418,fixed,1
0.001,10,5,1.0,12000,23046,52.06977349648529,7.27794226176725,7.277034894916641,0.0009073668506092147,0.0023439615405997476,8.678401279725595e-05,132776.29469242544,3.394533790929128,11.522859657759676,True,0.5914485999383032,fixed,1
0.001,50,2,1.0,32000,95549,33.49066970873583,24.55628834806094,24.555316565834737,0.0009717822262018672,0.00495767152586595,2.0931685562844666e-05,2282399.1439877804,6.911907205023665,47.77446121085805,True,5.646833100006916,fixed,1
0.001,50,5,1.0,29000,93040,31.16938950988822,31.217442227306698,31.216455068175286,0.0009871591314123407,0.005646334999794654,2.149614018612551e-05,2164108.489271149,6.820555656495804,46.51997946335691,True,5.127778599970043,fixed,1
0.0001,10,2,1.0,50000,174591,28.63836051113746,4.0845942731440035,4.084500427135638,9.384600836526147e-05,0.0006596257216121289,1.1455367048807224e-05,762047.3926582015,2.9545782425730787,8.729532591486223,True,2.4504591999575496,fixed,1
0.0001,10,5,1.0,76000,210721,36.066647367846585,5.8347952926935225,5.834697164708191,9.812798533115341e-05,0.00043437217281614164,9.491231775783946e-06,1110081.441235584,3.2459267164807053,10.536040248763214,True,3.756172400084324,fixed,1
0.0001,50,2,1.0,321000,943439,34.02445733110461,26.112856550622933,26.112756702376757,9.984824617603749e-05,0.00048190299081893995,2.1199039459161725e-06,22251927.35891722,6.868183792853002,47.17194861240865,True,56.26725590007845,fixed,1
0.0001,50,5,1.0,242000,964548,25.0894719599232,31.585856142016915,31.585757367196905,9.877482001030558e-05,0.0008442996210222743,2.0735120180928207e-06,23258777.613028377,6.944591773946298,48.22735490676259,True,42.50418309995439,fixed,1
