problem,epsilon,seed,mu_mode,iterations,elapsed_seconds,objective_value,dual_value,gap,mu_final,stages,converged,predicted_iterations,percent_of_predicted
matrix_game,0.01,0,fixed_mu,1140,0.7318006999994395,-0.0313251495084643,-0.04129489474630071,0.009969745237836405,0.0008766112701907305,1,True,2511,45.40023894862605
matrix_game,0.01,0,continuation_mu,1483,1.059413199996925,-0.03115313411665463,-0.04111774414091831,0.00996461002426368,0.0008766112701907305,3,True,2511,59.06013540422143
matrix_game,0.01,1,fixed_mu,1152,0.7501687000003585,-0.03021485374339547,-0.04017790063727046,0.009963046893874991,0.0008766112701907305,1,True,2511,45.878136200716845
matrix_game,0.01,1,continuation_mu,1497,1.0870837000002211,-0.029927752080291397,-0.0399000477515426,0.009972295671251203,0.0008766112701907305,3,True,2511,59.61768219832736
matrix_game,0.01,2,fixed_mu,1147,0.6567629000001034,-0.029486338125951334,-0.039452733678147285,0.009966395552195952,0.0008766112701907305,1,True,2511,45.67901234567901
matrix_game,0.01,2,continuation_mu,1475,0.9399321000018972,-0.029176682643097366,-0.039170538347278974,0.009993855704181608,0.0008766112701907305,3,True,2511,58.741537236160895
matrix_game,0.01,3,fixed_mu,1115,0.6863262999995641,-0.027713580761809777,-0.03771237856786271,0.009998797806052936,0.0008766112701907305,1,True,2511,44.404619673436876
matrix_game,0.01,3,continuation_mu,1456,1.0271330999985366,-0.027479352022845228,-0.037453412878921975,0.009974060856076748,0.0008766112701907305,3,True,2511,57.98486658701712
matrix_game,0.01,4,fixed_mu,1078,0.6037059999998746,-0.026215909296108265,-0.03621261769337451,0.009996708397266248,0.0008766112701907305,1,True,2511,42.93110314615691
matrix_game,0.01,4,continuation_mu,1420,0.930737799999406,-0.026039229286587348,-0.03603088828235576,0.009991658995768413,0.0008766112701907305,3,True,2511,56.55117483074472
matrix_game,0.001,0,fixed_mu,9976,19.515534999998636,-0.03521019425613375,-0.036210138312721615,0.000999944056587862,8.766112701907305e-05,1,True,25108,39.73235622112474
matrix_game,0.001,0,continuation_mu,12760,25.852342899999712,-0.03520500898246433,-0.03620417358986939,0.0009991646074050606,8.766112701907305e-05,3,True,25108,50.82045563167118
matrix_game,0.001,1,fixed_mu,10200,19.56435750000128,-0.03504344097519174,-0.03604285552083708,0.0009994145456453385,8.766112701907305e-05,1,True,25108,40.624502150708935
matrix_game,0.001,1,continuation_mu,13220,26.396280999999362,-0.035032151189923436,-0.03603186636113556,0.000999715171212126,8.766112701907305e-05,3,True,25108,52.652541022781584
matrix_game,0.001,2,fixed_mu,9833,17.913937799999985,-0.03505812711589802,-0.036057928615843636,0.0009998014999456142,8.766112701907305e-05,1,True,25108,39.16281663214912
matrix_game,0.001,2,continuation_mu,12633,23.952870399998574,-0.03504131996674867,-0.03604109822649611,0.0009997782597474386,8.766112701907305e-05,3,True,25108,50.31464075195157
matrix_game,0.001,3,fixed_mu,10412,19.81469449999895,-0.03405076501403743,-0.03505040002630341,0.0009996350122659856,8.766112701907305e-05,1,True,25108,41.468854548351125
matrix_game,0.001,3,continuation_mu,13326,26.021017699998993,-0.03404996465395818,-0.03504778030515395,0.00099781565119577,8.766112701907305e-05,3,True,25108,53.074717221602675
matrix_game,0.001,4,fixed_mu,9565,16.55981740000061,-0.03481881902588768,-0.03581877762187906,0.0009999585959913765,8.766112701907305e-05,1,True,25108,38.09542775211088
matrix_game,0.001,4,continuation_mu,12325,22.108824300001288,-0.03481885621362815,-0.035818075611596556,0.0009992193979684039,8.766112701907305e-05,3,True,25108,49.0879400987733
