epsilon,m,n,radius,iterations,predicted_iterations,percent_of_predicted,objective_value,dual_value,gap,mu,lipschitz,operator_norm,converged,elapsed_seconds,mu_mode,stages
0.01,100,50,1.0,5200,19315,26.922081283976183,29.443056782439946,29.433268159904465,0.009788622535481295,0.0001,932589.8091269447,9.657068960750694,True,0.14292140000907239,fixed,1
0.01,100,200,1.0,5600,26872,20.839535576064304,2.031362578147622e-11,-0.009861083804024257,0.009861083824337882,0.0001,1805130.6878348042,13.43551520350003,True,0.1761040999990655,fixed,1
0.01,300,50,1.0,27800,47604,58.398453911436015,126.10812384133926,126.09815975914397,0.009964082195295987,3.3333333333333335e-05,5665304.799120732,13.74203381250477,True,0.927710299991304,fixed,1
0.01,300,200,1.0,9900,61521,16.092066123762617,71.81301663554414,71.80302570038573,0.009990935158413095,3.3333333333333335e-05,9462035.952500148,17.759538237709663,True,0.4353160000027856,fixed,1
0.001,100,50,1.0,41000,188613,21.73763208262421,23.18119637792464,23.180197092624944,0.000999285299695174,1e-05,8893664.19054704,9.430622561924022,True,1.1577962000010302,fixed,1
0.001,100,200,1.0,62000,271080,22.871477054743988,1.0186296250935811e-14,-0.0009930321962732178,0.000993032196283404,1e-05,18371056.844285246,13.5539871787918,True,1.9428684000013163,fixed,1
0.001,300,50,1.0,285000,470936,60.51777736252909,129.41105185650156,129.41005689310325,0.0009949633983126205,3.3333333333333333e-06,55444992.490671106,13.594728450232846,True,9.271625599998515,fixed,1
0.001,300,200,1.0,157000,620871,25.287056409463478,67.15805375650393,67.15705910922452,0.0009946472794126748,3.3333333333333333e-06,96370182.03556332,17.923000310175315,True,7.405114900000626,fixed,1
0.0001,100,50,1.0,678000,1979761,34.246558044127546,29.891608483890693,29.89150853606855,9.994782214306497e-05,1e-06,97986299.99189778,9.8988029575246,True,19.3138031999988,fixed,1
0.0001,100,200,1.0,141000,2761269,5.1063478422421,1.2490009027033011e-14,-9.942056958096857e-05,9.942056959345857e-05,1e-06,190615140.79127648,13.806344222540465,True,4.549445399999968,fixed,1
0.0001,300,50,1.0,2712000,4660945,58.18562544720009,127.09825184931373,127.0981518945987,9.995471502577402e-05,3.3333333333333335e-07,543110148.2821354,13.454988520769728,True,88.32257780000509,fixed,1
0.0001,300,200,1.0,1264000,6224032,20.308378877229423,75.76092867470638,75.76082869711323,9.99775931518343e-05,3.3333333333333335e-07,968464318.7039723,17.96723238476062,True,57.35832339999615,fixed,1
